Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,1.0,112,112,0,0,0,0.0,0,248,122
Existants,J2,1.0,168,168,0,58,58,58.0,0,248,110
Nouveaux acceptés,J3,1.0,,248,,,4,4.0,,248,244
