Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.97,257,257,0,76,76,73.75,0,377,181
Existants,J2,0.83,288,295,7,185,192,160.28,7,377,103
Existants,J3,0.97,334,336,2,243,245,237.87,2,377,91
Existants,J4,0.91,210,210,0,94,94,85.8,0,377,116
Nouveaux acceptés,J5,0.13,,377,,,38,5.02,,377,339
