Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,201,191,162,200.0,19.1,
Existants,J2,208,123,-85,105,122.0,-0.41,
Existants,J3,143,175,32,129,174.0,0.22,
Existants,J4,50,0,-50,194,-1.0,-1.0,
Existants,J5,99,50,-49,79,49.0,-0.49,
Nouveaux acceptés,J6,,570,,262,2.18,,
Nouveaux acceptés,J7,,776,,182,4.26,,
Nouveaux acceptés,J8,,506,,123,4.11,,
Nouveaux acceptés,J9,,568,,130,4.37,,
Nouveaux acceptés,J10,,0,,186,0.0,,
Nouveaux acceptés,J11,,41,,136,0.3,,
Nouveaux acceptés,J12,,47,,175,0.27,,
Nouveaux acceptés,J13,,576,,128,4.5,,
Nouveaux acceptés,J14,,736,,159,4.63,,
Nouveaux acceptés,J15,,651,,120,5.42,,
Nouveaux acceptés,J16,,336,,169,1.99,,
Nouveaux acceptés,J17,,267,,200,1.33,,
Nouveaux acceptés,J18,,265,,196,1.35,,
Nouveaux acceptés,J19,,0,,172,0.0,,
Nouveaux acceptés,J20,,480,,155,3.1,,
