Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,149,-1.0,,
Existants,J2,151,208,57,195,207.0,0.38,
Existants,J3,379,321,-58,145,320.0,-0.15,
Existants,J4,63,63,0,165,62.0,0.0,
Existants,J5,272,165,-107,180,164.0,-0.39,
Existants,J6,0,0,0,142,-1.0,,
Nouveaux acceptés,J7,,400,,326,1.23,,
Nouveaux acceptés,J8,,293,,368,0.8,,
Nouveaux acceptés,J9,,160,,400,0.4,,
Nouveaux acceptés,J10,,735,,442,1.66,,
Nouveaux acceptés,J11,,783,,452,1.73,,
Nouveaux acceptés,J12,,184,,408,0.45,,
Nouveaux acceptés,J13,,690,,430,1.6,,
Nouveaux acceptés,J14,,236,,431,0.55,,
Nouveaux acceptés,J15,,309,,439,0.7,,
Nouveaux acceptés,J16,,120,,446,0.27,,
Nouveaux acceptés,J17,,570,,438,1.3,,
Nouveaux acceptés,J18,,427,,388,1.1,,
Nouveaux acceptés,J19,,467,,426,1.1,,
