Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,158,-23,105,157.0,-0.13,
Existants,J3,121,17,-104,129,16.0,-0.86,
Existants,J4,27,18,-9,194,17.0,-0.33,
Existants,J5,148,44,-104,79,43.0,-0.7,
Nouveaux acceptés,J6,,215,,337,0.64,,
Nouveaux acceptés,J7,,380,,257,1.48,,
Nouveaux acceptés,J8,,210,,205,1.02,,
Nouveaux acceptés,J9,,317,,261,1.21,,
Nouveaux acceptés,J10,,135,,211,0.64,,
Nouveaux acceptés,J11,,286,,250,1.14,,
Nouveaux acceptés,J12,,149,,203,0.73,,
Nouveaux acceptés,J13,,226,,195,1.16,,
Nouveaux acceptés,J14,,244,,247,0.99,,
Nouveaux acceptés,J15,,83,,230,0.36,,
