Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,133,-1.0,,
Existants,J2,159,114,-45,105,113.0,-0.28,
Existants,J3,32,32,0,90,31.0,0.0,
Existants,J4,34,34,0,179,33.0,0.0,
Nouveaux acceptés,J5,,101,,249,0.41,,
Nouveaux acceptés,J6,,26,,251,0.1,,
Nouveaux acceptés,J7,,80,,236,0.34,,
Nouveaux acceptés,J8,,127,,253,0.5,,
Nouveaux acceptés,J9,,49,,273,0.18,,
