Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,341,182,105,340.0,1.14,
Existants,J3,167,62,-105,129,61.0,-0.63,
Existants,J4,27,120,93,194,119.0,3.44,
Existants,J5,148,61,-87,79,60.0,-0.59,
Nouveaux acceptés,J6,,42,,219,0.19,,
Nouveaux acceptés,J7,,273,,167,1.63,,
Nouveaux acceptés,J8,,318,,165,1.93,,
Nouveaux acceptés,J9,,350,,196,1.79,,
Nouveaux acceptés,J10,,138,,233,0.59,,
Nouveaux acceptés,J11,,185,,192,0.96,,
