Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,208,49,105,207.0,0.31,
Existants,J3,167,140,-27,129,139.0,-0.16,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,139,-9,79,138.0,-0.06,
Nouveaux acceptés,J6,,179,,262,0.68,,
Nouveaux acceptés,J7,,231,,186,1.24,,
Nouveaux acceptés,J8,,327,,136,2.4,,
Nouveaux acceptés,J9,,88,,175,0.5,,
Nouveaux acceptés,J10,,180,,200,0.9,,
Nouveaux acceptés,J11,,311,,172,1.81,,
