Pool,job,cost,Cj_initial,Cj_final,Diff_Cj,Tj_initial,Tj_final,Tj_final_pondere,Diff_Tj,Cmax,dj
Existants,J1,0.82,51,51,0,0,0,0.0,0,337,68
Existants,J2,0.99,129,129,0,0,0,0.0,0,337,131
Nouveaux acceptés,J3,0.31,,331,,,33,10.11,,337,298
Nouveaux acceptés,J4,0.06,,278,,,15,0.94,,337,263
Nouveaux acceptés,J5,0.36,,337,,,104,37.27,,337,233
