Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,88,-1.0,,
Existants,J2,72,72,0,90,71.0,0.0,
Existants,J3,0,0,0,140,-1.0,,
Nouveaux acceptés,J4,,356,,250,1.42,,
Nouveaux acceptés,J5,,340,,221,1.54,,
Nouveaux acceptés,J6,,131,,246,0.53,,
Nouveaux acceptés,J7,,295,,234,1.26,,
Nouveaux acceptés,J8,,233,,254,0.92,,
Nouveaux acceptés,J9,,2,,184,0.01,,
