Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,57,7,-50,130,6.0,-0.88,
Existants,J2,0,0,0,116,-1.0,,
Existants,J3,0,21,21,180,20.0,,
Nouveaux acceptés,J4,,3,,192,0.02,,
Nouveaux acceptés,J5,,77,,249,0.31,,
Nouveaux acceptés,J6,,119,,251,0.47,,
