Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,277,118,105,276.0,0.74,
Existants,J3,167,71,-96,129,70.0,-0.57,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,266,118,79,265.0,0.8,
Nouveaux acceptés,J6,,245,,337,0.73,,
Nouveaux acceptés,J7,,188,,257,0.73,,
Nouveaux acceptés,J8,,416,,203,2.05,,
Nouveaux acceptés,J9,,281,,234,1.2,,
Nouveaux acceptés,J10,,326,,195,1.67,,
Nouveaux acceptés,J11,,68,,271,0.25,,
