Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,213,46,105,212.0,0.28,
Existants,J3,175,331,156,129,330.0,0.89,
Existants,J4,0,16,16,194,15.0,,
Existants,J5,156,170,14,79,169.0,0.09,
Nouveaux acceptés,J6,,0,,219,0.0,,
Nouveaux acceptés,J7,,145,,167,0.87,,
Nouveaux acceptés,J8,,231,,223,1.04,,
Nouveaux acceptés,J9,,70,,173,0.4,,
Nouveaux acceptés,J10,,204,,165,1.24,,
Nouveaux acceptés,J11,,271,,209,1.3,,
