Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,195,130,-65,166,129.0,-0.33,
Existants,J2,24,0,-24,129,-1.0,-1.0,
Existants,J3,69,48,-21,121,47.0,-0.3,
Existants,J4,99,104,5,121,103.0,0.05,
Existants,J5,10,10,0,60,9.0,0.0,
Existants,J6,173,386,213,128,385.0,1.23,
Nouveaux acceptés,J7,,538,,418,1.29,,
Nouveaux acceptés,J8,,381,,302,1.26,,
Nouveaux acceptés,J9,,160,,196,0.82,,
Nouveaux acceptés,J10,,266,,308,0.86,,
Nouveaux acceptés,J11,,60,,344,0.17,,
Nouveaux acceptés,J12,,492,,407,1.21,,
Nouveaux acceptés,J13,,357,,420,0.85,,
Nouveaux acceptés,J14,,62,,288,0.22,,
Nouveaux acceptés,J15,,116,,186,0.62,,
Nouveaux acceptés,J16,,417,,319,1.31,,
Nouveaux acceptés,J17,,486,,358,1.36,,
