Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,250,96,105,249.0,0.62,
Existants,J3,157,71,-86,129,70.0,-0.55,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,429,298,79,428.0,2.27,
Nouveaux acceptés,J6,,232,,337,0.69,,
Nouveaux acceptés,J7,,375,,257,1.46,,
Nouveaux acceptés,J8,,504,,198,2.55,,
Nouveaux acceptés,J9,,48,,203,0.24,,
Nouveaux acceptés,J10,,80,,234,0.34,,
Nouveaux acceptés,J11,,500,,244,2.05,,
Nouveaux acceptés,J12,,231,,271,0.85,,
