Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,252,85,105,251.0,0.51,
Existants,J3,175,315,140,129,314.0,0.8,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,162,6,79,161.0,0.04,
Nouveaux acceptés,J6,,137,,167,0.82,,
Nouveaux acceptés,J7,,128,,223,0.57,,
Nouveaux acceptés,J8,,34,,173,0.2,,
Nouveaux acceptés,J9,,0,,212,0.0,,
Nouveaux acceptés,J10,,145,,165,0.88,,
Nouveaux acceptés,J11,,168,,209,0.8,,
