Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,139,-28,105,138.0,-0.17,
Existants,J3,175,350,175,129,349.0,1.0,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,126,-30,79,125.0,-0.19,
Nouveaux acceptés,J6,,306,,167,1.83,,
Nouveaux acceptés,J7,,58,,223,0.26,,
Nouveaux acceptés,J8,,65,,173,0.38,,
Nouveaux acceptés,J9,,144,,212,0.68,,
Nouveaux acceptés,J10,,197,,165,1.19,,
Nouveaux acceptés,J11,,346,,196,1.77,,
Nouveaux acceptés,J12,,154,,157,0.98,,
Nouveaux acceptés,J13,,0,,209,0.0,,
