Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,42,-112,105,41.0,-0.73,
Existants,J3,157,143,-14,129,142.0,-0.09,
Existants,J4,59,144,85,194,143.0,1.44,
Existants,J5,131,165,34,79,164.0,0.26,
Nouveaux acceptés,J6,,19,,219,0.09,,
Nouveaux acceptés,J7,,244,,160,1.52,,
Nouveaux acceptés,J8,,461,,165,2.79,,
Nouveaux acceptés,J9,,436,,157,2.78,,
Nouveaux acceptés,J10,,320,,206,1.55,,
Nouveaux acceptés,J11,,255,,233,1.09,,
