Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,161,-1.0,,
Existants,J2,0,0,0,206,-1.0,,
Existants,J3,483,356,-127,185,355.0,-0.26,
Existants,J4,267,424,157,211,423.0,0.59,
Existants,J5,128,128,0,189,127.0,0.0,
Existants,J6,114,114,0,155,113.0,0.0,
Existants,J7,168,168,0,215,167.0,0.0,
Existants,J8,371,285,-86,194,284.0,-0.23,
Nouveaux acceptés,J9,,277,,466,0.59,,
Nouveaux acceptés,J10,,217,,471,0.46,,
Nouveaux acceptés,J11,,295,,512,0.58,,
