Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,224,70,105,223.0,0.45,
Existants,J3,157,456,299,129,455.0,1.9,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,181,50,79,180.0,0.38,
Nouveaux acceptés,J6,,103,,123,0.84,,
Nouveaux acceptés,J7,,193,,130,1.48,,
Nouveaux acceptés,J8,,393,,186,2.11,,
Nouveaux acceptés,J9,,285,,136,2.1,,
Nouveaux acceptés,J10,,361,,175,2.06,,
Nouveaux acceptés,J11,,299,,128,2.34,,
Nouveaux acceptés,J12,,215,,169,1.27,,
Nouveaux acceptés,J13,,342,,200,1.71,,
Nouveaux acceptés,J14,,433,,172,2.52,,
Nouveaux acceptés,J15,,336,,155,2.17,,
