Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,181,222,41,105,221.0,0.23,
Existants,J3,121,102,-19,129,101.0,-0.16,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,113,-35,79,112.0,-0.24,
Nouveaux acceptés,J6,,234,,219,1.07,,
Nouveaux acceptés,J7,,141,,223,0.63,,
Nouveaux acceptés,J8,,52,,173,0.3,,
Nouveaux acceptés,J9,,68,,212,0.32,,
Nouveaux acceptés,J10,,121,,165,0.73,,
Nouveaux acceptés,J11,,237,,157,1.51,,
Nouveaux acceptés,J12,,112,,209,0.54,,
