Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,39,39,0,100,38.0,0.0,
Existants,J2,51,70,19,129,69.0,0.37,
Existants,J3,137,177,40,88,176.0,0.29,
Existants,J4,0,0,0,95,-1.0,,
Nouveaux acceptés,J5,,68,,109,0.62,,
