Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,60,60,0,92,59.0,0.0,
Existants,J2,149,130,-19,173,129.0,-0.13,
Existants,J3,5,5,0,81,4.0,0.0,
Existants,J4,0,0,0,123,-1.0,,
Existants,J5,127,145,18,99,144.0,0.14,
Nouveaux acceptés,J6,,0,,366,0.0,,
Nouveaux acceptés,J7,,390,,392,0.99,,
Nouveaux acceptés,J8,,189,,230,0.82,,
Nouveaux acceptés,J9,,267,,323,0.83,,
Nouveaux acceptés,J10,,154,,342,0.45,,
Nouveaux acceptés,J11,,373,,370,1.01,,
Nouveaux acceptés,J12,,149,,224,0.67,,
Nouveaux acceptés,J13,,202,,300,0.67,,
Nouveaux acceptés,J14,,321,,351,0.91,,
Nouveaux acceptés,J15,,299,,390,0.77,,
