Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,26,26,0,88,25.0,0.0,
Existants,J2,0,0,0,108,-1.0,,
Existants,J3,347,419,72,160,418.0,0.21,
Existants,J4,66,66,0,109,65.0,0.0,
Existants,J5,17,17,0,202,16.0,0.0,
Existants,J6,47,47,0,208,46.0,0.0,
Existants,J7,199,315,116,205,314.0,0.58,
Existants,J8,171,171,0,156,170.0,0.0,
Existants,J9,233,529,296,215,528.0,1.27,
Existants,J10,0,0,0,67,-1.0,,
Nouveaux acceptés,J11,,755,,467,1.62,,
Nouveaux acceptés,J12,,413,,405,1.02,,
Nouveaux acceptés,J13,,735,,426,1.73,,
Nouveaux acceptés,J14,,395,,429,0.92,,
Nouveaux acceptés,J15,,420,,470,0.89,,
Nouveaux acceptés,J16,,330,,373,0.88,,
Nouveaux acceptés,J17,,689,,434,1.59,,
Nouveaux acceptés,J18,,0,,424,0.0,,
Nouveaux acceptés,J19,,11,,351,0.03,,
Nouveaux acceptés,J20,,570,,424,1.34,,
