Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,130,-37,105,129.0,-0.22,
Existants,J3,175,63,-112,129,62.0,-0.64,
Existants,J4,0,190,190,194,189.0,,
Existants,J5,156,90,-66,79,89.0,-0.42,
Nouveaux acceptés,J6,,31,,261,0.12,,
Nouveaux acceptés,J7,,18,,211,0.09,,
Nouveaux acceptés,J8,,168,,250,0.67,,
Nouveaux acceptés,J9,,247,,234,1.06,,
Nouveaux acceptés,J10,,77,,275,0.28,,
Nouveaux acceptés,J11,,19,,247,0.08,,
