Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,42,-117,105,41.0,-0.74,
Existants,J3,167,184,17,129,183.0,0.1,
Existants,J4,27,229,202,194,228.0,7.48,
Existants,J5,148,165,17,79,164.0,0.11,
Nouveaux acceptés,J6,,324,,299,1.08,,
Nouveaux acceptés,J7,,337,,219,1.54,,
Nouveaux acceptés,J8,,140,,167,0.84,,
Nouveaux acceptés,J9,,321,,165,1.95,,
Nouveaux acceptés,J10,,42,,196,0.21,,
Nouveaux acceptés,J11,,405,,157,2.58,,
Nouveaux acceptés,J12,,247,,233,1.06,,
